run_id,initial_state,algorithm,cost_function,heuristic,random_successors,goal_state_found,path_length,path_cost,nodes_generated,nodes_visited,execution_time_sec
1,563_12847,BreadthFirstSearch,C1,N/A,False,12_345678,21,42.0,142430,52361,0.7519
2,563_12847,BreadthFirstSearch,C2,N/A,False,12_345678,21,54.0,142430,52361,0.7675
3,563_12847,BreadthFirstSearch,C3,N/A,False,12_345678,21,51.0,142430,52361,0.8151
4,563_12847,BreadthFirstSearch,C4,N/A,False,12_345678,21,66.0,142430,52361,0.9683
5,563_12847,DepthFirstSearch,C1,N/A,False,1_2345678,28,56.0,4045,1510,0.0182
6,563_12847,DepthFirstSearch,C2,N/A,False,1_2345678,28,67.0,4045,1510,0.017
7,563_12847,DepthFirstSearch,C3,N/A,False,1_2345678,28,73.0,4045,1510,0.016
8,563_12847,DepthFirstSearch,C4,N/A,False,1_2345678,28,81.0,4045,1510,0.0206
9,563_12847,UniformCostSearch,C1,N/A,False,12_345678,21,42.0,321937,120044,2.8246
10,563_12847,UniformCostSearch,C2,N/A,False,12345678_,21,52.0,232412,86707,2.5031
11,563_12847,UniformCostSearch,C3,N/A,False,12_345678,21,51.0,237459,91200,2.3918
12,563_12847,UniformCostSearch,C4,N/A,False,12345678_,21,61.0,177314,72821,1.795
13,1527634_8,BreadthFirstSearch,C1,N/A,False,12345_678,8,16.0,347,128,0.0022
14,1527634_8,BreadthFirstSearch,C2,N/A,False,12345_678,8,19.0,347,128,0.001
15,1527634_8,BreadthFirstSearch,C3,N/A,False,12345_678,8,21.0,347,128,0.002
16,1527634_8,BreadthFirstSearch,C4,N/A,False,12345_678,8,25.0,347,128,0.002
17,1527634_8,DepthFirstSearch,C1,N/A,False,12345_678,30,60.0,5261,1975,0.039
18,1527634_8,DepthFirstSearch,C2,N/A,False,12345_678,30,71.0,5261,1975,0.021
19,1527634_8,DepthFirstSearch,C3,N/A,False,12345_678,30,79.0,5261,1975,0.0217
20,1527634_8,DepthFirstSearch,C4,N/A,False,12345_678,30,88.0,5261,1975,0.0282
21,1527634_8,UniformCostSearch,C1,N/A,False,12345_678,8,16.0,606,225,0.003
22,1527634_8,UniformCostSearch,C2,N/A,False,12345_678,8,19.0,517,195,0.003
23,1527634_8,UniformCostSearch,C3,N/A,False,12345_678,8,21.0,820,297,0.004
24,1527634_8,UniformCostSearch,C4,N/A,False,12345_678,8,25.0,688,261,0.004
25,_47235618,BreadthFirstSearch,C1,N/A,False,1234_5678,16,32.0,17164,6256,0.077
26,_47235618,BreadthFirstSearch,C2,N/A,False,1234_5678,16,39.0,17164,6256,0.1236
27,_47235618,BreadthFirstSearch,C3,N/A,False,1234_5678,16,41.0,17164,6256,0.0915
28,_47235618,BreadthFirstSearch,C4,N/A,False,1234_5678,16,51.0,17164,6256,0.1221
29,_47235618,DepthFirstSearch,C1,N/A,False,1234_5678,30,60.0,53710,19251,0.2301
30,_47235618,DepthFirstSearch,C2,N/A,False,1234_5678,30,73.0,53710,19251,0.2486
31,_47235618,DepthFirstSearch,C3,N/A,False,1234_5678,30,77.0,53710,19251,0.2416
32,_47235618,DepthFirstSearch,C4,N/A,False,1234_5678,30,90.0,53710,19251,0.3279
33,_47235618,UniformCostSearch,C1,N/A,False,1234_5678,16,32.0,25313,9118,0.1701
34,_47235618,UniformCostSearch,C2,N/A,False,1234_5678,16,39.0,23742,8724,0.167
35,_47235618,UniformCostSearch,C3,N/A,False,1234_5678,16,41.0,35077,13495,0.2264
36,_47235618,UniformCostSearch,C4,N/A,False,123_45678,17,50.0,43424,16915,0.3253
37,83261475_,BreadthFirstSearch,C1,N/A,False,_12345678,16,32.0,19210,6938,0.1002
38,83261475_,BreadthFirstSearch,C2,N/A,False,_12345678,16,40.0,19210,6938,0.085
39,83261475_,BreadthFirstSearch,C3,N/A,False,_12345678,16,40.0,19210,6938,0.112
40,83261475_,BreadthFirstSearch,C4,N/A,False,_12345678,16,46.0,19210,6938,0.1042
41,83261475_,DepthFirstSearch,C1,N/A,False,12_345678,30,60.0,5574,1985,0.022
42,83261475_,DepthFirstSearch,C2,N/A,False,12_345678,30,74.0,5574,1985,0.022
43,83261475_,DepthFirstSearch,C3,N/A,False,12_345678,30,76.0,5574,1985,0.04
44,83261475_,DepthFirstSearch,C4,N/A,False,12_345678,30,89.0,5574,1985,0.032
45,83261475_,UniformCostSearch,C1,N/A,False,_12345678,16,32.0,28293,10234,0.1852
46,83261475_,UniformCostSearch,C2,N/A,False,_12345678,16,40.0,32314,12279,0.2241
