run_id,initial_state,algorithm,cost_function,heuristic,random_successors,goal_state_found,path_length,path_cost,nodes_generated,nodes_visited,execution_time_sec
61,7123_4568,UniformCostSearch,C1,N/A,False,1_2345678,17,34.0,50944,19035,0.3478
62,7123_4568,AStarSearch,C1,H1,False,1_2345678,17,34.0,4527,1660,0.0809
63,7123_4568,AStarSearch,C1,H2,False,1_2345678,17,34.0,924,339,0.0173
64,7123_4568,UniformCostSearch,C2,N/A,False,1_2345678,17,42.0,61064,22564,0.4123
65,7123_4568,AStarSearch,C2,H1,False,1_2345678,17,42.0,5973,2168,0.1075
66,7123_4568,AStarSearch,C2,H2,False,1_2345678,17,42.0,1426,522,0.0282
67,7123_4568,UniformCostSearch,C3,N/A,False,1_2345678,17,43.0,72019,26680,0.4755
68,7123_4568,AStarSearch,C3,H1,False,1_2345678,17,43.0,7391,2749,0.1393
69,7123_4568,AStarSearch,C3,H2,False,1_2345678,17,43.0,1857,699,0.0356
70,7123_4568,UniformCostSearch,C4,N/A,False,1_2345678,17,50.0,61121,24000,0.4613
71,7123_4568,AStarSearch,C4,H1,False,1_2345678,17,50.0,9937,3718,0.2093
72,7123_4568,AStarSearch,C4,H2,False,1_2345678,17,50.0,2818,1066,0.0582
73,461_25837,UniformCostSearch,C1,N/A,False,_12345678,21,42.0,267213,97475,2.1566
74,461_25837,AStarSearch,C1,H1,False,_12345678,21,42.0,21203,7854,0.394
75,461_25837,AStarSearch,C1,H2,False,_12345678,21,42.0,3550,1325,0.0882
76,461_25837,UniformCostSearch,C2,N/A,False,_12345678,21,52.0,234682,87839,1.8451
77,461_25837,AStarSearch,C2,H1,False,_12345678,21,52.0,29373,11053,0.5529
78,461_25837,AStarSearch,C2,H2,False,_12345678,21,52.0,6035,2296,0.1167
79,461_25837,UniformCostSearch,C3,N/A,False,_12345678,21,53.0,277476,103930,2.3956
80,461_25837,AStarSearch,C3,H1,False,_12345678,21,53.0,35906,13541,0.6501
81,461_25837,AStarSearch,C3,H2,False,_12345678,21,53.0,7847,2972,0.1715
82,461_25837,UniformCostSearch,C4,N/A,False,_12345678,21,59.0,146253,59213,1.2652
83,461_25837,AStarSearch,C4,H1,False,_12345678,21,59.0,27559,10421,0.5691
84,461_25837,AStarSearch,C4,H2,False,_12345678,21,59.0,6690,2552,0.1363
85,1246537_8,UniformCostSearch,C1,N/A,False,123_45678,10,20.0,2121,766,0.0101
86,1246537_8,AStarSearch,C1,H1,False,123_45678,10,20.0,224,81,0.004
87,1246537_8,AStarSearch,C1,H2,False,123_45678,10,20.0,89,33,0.001
88,1246537_8,UniformCostSearch,C2,N/A,False,123_45678,10,25.0,1963,717,0.0093
89,1246537_8,AStarSearch,C2,H1,False,123_45678,10,25.0,308,111,0.0051
90,1246537_8,AStarSearch,C2,H2,False,123_45678,10,25.0,113,43,0.003
91,1246537_8,UniformCostSearch,C3,N/A,False,123_45678,10,25.0,1909,698,0.01
92,1246537_8,AStarSearch,C3,H1,False,123_45678,10,25.0,328,114,0.0062
93,1246537_8,AStarSearch,C3,H2,False,123_45678,10,25.0,115,43,0.003
94,1246537_8,UniformCostSearch,C4,N/A,False,123_45678,10,27.0,952,366,0.0052
95,1246537_8,AStarSearch,C4,H1,False,123_45678,10,27.0,202,77,0.004
96,1246537_8,AStarSearch,C4,H2,False,123_45678,10,27.0,104,39,0.002
97,37412658_,UniformCostSearch,C1,N/A,False,1234567_8,17,34.0,50020,18331,0.363
98,37412658_,AStarSearch,C1,H1,False,1234567_8,17,34.0,2947,1077,0.0531
99,37412658_,AStarSearch,C1,H2,False,1234567_8,17,34.0,272,100,0.005
100,37412658_,UniformCostSearch,C2,N/A,False,1234567_8,17,43.0,49380,18239,0.296
101,37412658_,AStarSearch,C2,H1,False,1234567_8,17,43.0,4930,1794,0.0897
102,37412658_,AStarSearch,C2,H2,False,1234567_8,17,43.0,793,288,0.0164
103,37412658_,UniformCostSearch,C3,N/A,False,1234567_8,17,42.0,44164,16415,0.293
104,37412658_,AStarSearch,C3,H1,False,1234567_8,17,42.0,4115,1546,0.0743
105,37412658_,AStarSearch,C3,H2,False,1234567_8,17,42.0,657,248,0.0142
106,37412658_,UniformCostSearch,C4,N/A,False,1234567_8,17,52.0,50195,19678,0.3953
107,37412658_,AStarSearch,C4,H1,False,1234567_8,17,52.0,8316,3121,0.1581
108,37412658_,AStarSearch,C4,H2,False,1234567_8,17,52.0,1766,672,0.036
109,84172356_,UniformCostSearch,C1,N/A,False,12345678_,20,40.0,174333,64453,1.3153
110,84172356_,AStarSearch,C1,H1,False,12345678_,20,40.0,11316,4168,0.2107
111,84172356_,AStarSearch,C1,H2,False,12345678_,20,40.0,1450,540,0.0294
112,84172356_,UniformCostSearch,C2,N/A,False,12345678_,20,50.0,169086,63643,1.2568
113,84172356_,AStarSearch,C2,H1,False,12345678_,20,50.0,17738,6648,0.3427
114,84172356_,AStarSearch,C2,H2,False,12345678_,20,50.0,2907,1102,0.0542
115,84172356_,UniformCostSearch,C3,N/A,False,12345678_,20,50.0,179147,68702,1.3533
116,84172356_,AStarSearch,C3,H1,False,12345678_,20,50.0,17880,6702,0.3588
117,84172356_,AStarSearch,C3,H2,False,12345678_,20,50.0,2966,1128,0.0568
118,84172356_,UniformCostSearch,C4,N/A,False,12345678_,20,54.0,72925,29050,0.5788
119,84172356_,AStarSearch,C4,H1,False,12345678_,20,54.0,11102,4171,0.2184
120,84172356_,AStarSearch,C4,H2,False,12345678_,20,54.0,2143,817,0.0452
121,4_8357612,UniformCostSearch,C1,N/A,False,1234_5678,17,34.0,54283,19768,0.3476
122,4_8357612,AStarSearch,C1,H1,False,1234_5678,17,34.0,2930,1079,0.0522
123,4_8357612,AStarSearch,C1,H2,False,1234_5678,17,34.0,359,134,0.006
124,4_8357612,UniformCostSearch,C2,N/A,False,1234_5678,17,40.0,34443,12730,0.2106
125,4_8357612,AStarSearch,C2,H1,False,1234_5678,17,40.0,2951,1081,0.0561
126,4_8357612,AStarSearch,C2,H2,False,1234_5678,17,40.0,493,180,0.011
127,4_8357612,UniformCostSearch,C3,N/A,False,1234_5678,17,45.0,89972,33237,0.6129
128,4_8357612,AStarSearch,C3,H1,False,1234_5678,17,45.0,7362,2674,0.1336
129,4_8357612,AStarSearch,C3,H2,False,1234_5678,17,45.0,1227,452,0.0233
130,4_8357612,UniformCostSearch,C4,N/A,False,1234_5678,17,52.0,57927,22876,0.4364
131,4_8357612,AStarSearch,C4,H1,False,1234_5678,17,52.0,8435,3167,0.1781
132,4_8357612,AStarSearch,C4,H2,False,1234_5678,17,52.0,1822,688,0.0392
133,45712683_,UniformCostSearch,C1,N/A,False,123_45678,21,42.0,270202,99555,2.2335
134,45712683_,AStarSearch,C1,H1,False,123_45678,21,42.0,18304,6769,0.3357
135,45712683_,AStarSearch,C1,H2,False,123_45678,21,42.0,2106,784,0.0411
136,45712683_,UniformCostSearch,C2,N/A,False,123_45678,21,52.0,239908,91446,1.9666
137,45712683_,AStarSearch,C2,H1,False,123_45678,21,52.0,26556,9962,0.4802
138,45712683_,AStarSearch,C2,H2,False,123_45678,21,52.0,4896,1853,0.0961
139,45712683_,UniformCostSearch,C3,N/A,False,123_45678,21,53.0,282250,106426,2.4138
140,45712683_,AStarSearch,C3,H1,False,123_45678,21,53.0,30440,11095,0.596
141,45712683_,AStarSearch,C3,H2,False,123_45678,21,53.0,5580,2048,0.1072
142,45712683_,UniformCostSearch,C4,N/A,False,123_45678,21,62.0,179471,73628,1.6201
143,45712683_,AStarSearch,C4,H1,False,123_45678,21,62.0,39014,14742,0.7935
144,45712683_,AStarSearch,C4,H2,False,123_45678,21,62.0,9557,3636,0.2004
145,18427_365,UniformCostSearch,C1,N/A,False,1_2345678,16,32.0,37674,13723,0.2551
146,18427_365,AStarSearch,C1,H1,False,1_2345678,16,32.0,2153,798,0.037
147,18427_365,AStarSearch,C1,H2,False,1_2345678,16,32.0,321,118,0.006
148,18427_365,UniformCostSearch,C2,N/A,False,1_2345678,16,41.0,41897,15204,0.2574
149,18427_365,AStarSearch,C2,H1,False,1_2345678,16,41.0,3929,1412,0.0712
150,18427_365,AStarSearch,C2,H2,False,1_2345678,16,41.0,836,305,0.0162
151,18427_365,UniformCostSearch,C3,N/A,False,1_2345678,16,39.0,27283,10206,0.174
152,18427_365,AStarSearch,C3,H1,False,1_2345678,16,39.0,2818,1058,0.0486
153,18427_365,AStarSearch,C3,H2,False,1_2345678,16,39.0,630,238,0.0112
154,18427_365,UniformCostSearch,C4,N/A,False,1_2345678,16,49.0,38543,15022,0.2799
155,18427_365,AStarSearch,C4,H1,False,1_2345678,16,49.0,5863,2192,0.1328
156,18427_365,AStarSearch,C4,H2,False,1_2345678,16,49.0,1495,569,0.0291
157,64352_871,UniformCostSearch,C1,N/A,False,12345_678,22,44.0,391262,145265,3.3548
158,64352_871,AStarSearch,C1,H1,False,12345_678,22,44.0,31399,11578,0.5909
159,64352_871,AStarSearch,C1,H2,False,12345_678,22,44.0,3205,1183,0.0612
160,64352_871,UniformCostSearch,C2,N/A,False,12345_678,22,54.0,328071,126107,2.8632
161,64352_871,AStarSearch,C2,H1,False,12345_678,22,54.0,40062,15039,0.7667
162,64352_871,AStarSearch,C2,H2,False,12345_678,22,54.0,6387,2429,0.1236
163,64352_871,UniformCostSearch,C3,N/A,False,12345_678,22,56.0,435409,165914,3.9821
164,64352_871,AStarSearch,C3,H1,False,12345_678,22,56.0,56736,20694,1.0718
165,64352_871,AStarSearch,C3,H2,False,12345_678,22,56.0,10147,3719,0.1994
166,64352_871,UniformCostSearch,C4,N/A,False,12345_678,22,62.0,189008,77915,1.763
167,64352_871,AStarSearch,C4,H1,False,12345_678,22,62.0,41403,15596,0.8383
168,64352_871,AStarSearch,C4,H2,False,12345_678,22,62.0,8572,3277,0.1781
169,1582_6473,UniformCostSearch,C1,N/A,False,1234_5678,16,32.0,35245,12958,0.2206
170,1582_6473,AStarSearch,C1,H1,False,1234_5678,16,32.0,2474,909,0.0432
