run_id,initial_state,algorithm,cost_function,heuristic,random_successors,goal_state_found,path_length,path_cost,nodes_generated,nodes_visited,execution_time_sec
1,83461572_,BreadthFirstSearch,C1,N/A,True,123_45678,19,38.0,70157,26334,0.3937
2,83461572_,BreadthFirstSearch,C1,N/A,True,123_45678,19,38.0,62215,23099,0.3557
3,83461572_,BreadthFirstSearch,C1,N/A,True,123_45678,19,38.0,52927,19303,0.2798
4,83461572_,BreadthFirstSearch,C1,N/A,True,123_45678,19,38.0,69677,26141,0.3816
5,83461572_,BreadthFirstSearch,C1,N/A,True,123_45678,19,38.0,69349,26005,0.3775
6,83461572_,BreadthFirstSearch,C1,N/A,True,123_45678,19,38.0,68313,25587,0.3843
7,83461572_,BreadthFirstSearch,C1,N/A,True,123_45678,19,38.0,63303,23540,0.3547
8,83461572_,BreadthFirstSearch,C1,N/A,True,123_45678,19,38.0,64019,23823,0.37
9,83461572_,BreadthFirstSearch,C1,N/A,True,123_45678,19,38.0,65019,24233,0.3437
10,83461572_,BreadthFirstSearch,C1,N/A,True,123_45678,19,38.0,69349,26004,0.3873
11,83461572_,BreadthFirstSearch,C2,N/A,True,123_45678,19,46.0,57955,21370,0.3365
12,83461572_,BreadthFirstSearch,C2,N/A,True,123_45678,19,46.0,59851,22137,0.3152
13,83461572_,BreadthFirstSearch,C2,N/A,True,123_45678,19,46.0,58707,21673,0.3435
14,83461572_,BreadthFirstSearch,C2,N/A,True,123_45678,19,46.0,70649,26531,0.4012
15,83461572_,BreadthFirstSearch,C2,N/A,True,123_45678,19,46.0,63565,23643,0.3689
16,83461572_,BreadthFirstSearch,C2,N/A,True,123_45678,19,46.0,69531,26081,0.4065
17,83461572_,BreadthFirstSearch,C2,N/A,True,123_45678,19,46.0,51173,18588,0.2857
18,83461572_,BreadthFirstSearch,C2,N/A,True,123_45678,19,46.0,57151,21045,0.3292
19,83461572_,BreadthFirstSearch,C2,N/A,True,123_45678,19,46.0,57919,21356,0.3123
