run_id,initial_state,algorithm,cost_function,heuristic,random_successors,goal_state_found,path_length,path_cost,nodes_generated,nodes_visited,execution_time_sec
1,8573162_4,GreedyBestFirstSearch,C1,H1,False,123456_78,63,126.0,1355,497,0.0245
1,8573162_4,GreedyBestFirstSearch,C2,H1,False,123456_78,63,155.0,1355,497,0.0245
1,8573162_4,GreedyBestFirstSearch,C3,H1,False,123456_78,63,160.0,1355,497,0.0245
1,8573162_4,GreedyBestFirstSearch,C4,H1,False,123456_78,63,184.0,1355,497,0.0245
2,8573162_4,GreedyBestFirstSearch,C1,H2,False,1_2345678,42,84.0,240,88,0.004
2,8573162_4,GreedyBestFirstSearch,C2,H2,False,1_2345678,42,104.0,240,88,0.004
2,8573162_4,GreedyBestFirstSearch,C3,H2,False,1_2345678,42,106.0,240,88,0.004
2,8573162_4,GreedyBestFirstSearch,C4,H2,False,1_2345678,42,120.0,240,88,0.004
3,8573162_4,AStarSearch,C1,H1,False,1234_5678,23,46.0,41724,15420,0.8071
4,8573162_4,AStarSearch,C1,H2,False,1234_5678,23,46.0,1757,667,0.0352
5,8573162_4,AStarSearch,C2,H1,False,1234_5678,23,58.0,71115,26074,1.367
6,8573162_4,AStarSearch,C2,H2,False,1234_5678,23,58.0,7069,2610,0.1401
7,8573162_4,AStarSearch,C3,H1,False,1234_5678,23,57.0,58715,21523,1.133
8,8573162_4,AStarSearch,C3,H2,False,1234_5678,23,57.0,5381,1986,0.1052
9,8573162_4,AStarSearch,C4,H1,False,12345_678,24,62.0,37083,14006,0.7738
10,8573162_4,AStarSearch,C4,H2,False,12345_678,24,62.0,4389,1678,0.0932
11,35876421_,GreedyBestFirstSearch,C1,H1,False,_12345678,32,64.0,585,220,0.01
11,35876421_,GreedyBestFirstSearch,C2,H1,False,_12345678,32,78.0,585,220,0.01
11,35876421_,GreedyBestFirstSearch,C3,H1,False,_12345678,32,82.0,585,220,0.01
11,35876421_,GreedyBestFirstSearch,C4,H1,False,_12345678,32,93.0,585,220,0.01
12,35876421_,GreedyBestFirstSearch,C1,H2,False,1234_5678,26,52.0,125,46,0.003
12,35876421_,GreedyBestFirstSearch,C2,H2,False,1234_5678,26,65.0,125,46,0.003
12,35876421_,GreedyBestFirstSearch,C3,H2,False,1234_5678,26,65.0,125,46,0.003
12,35876421_,GreedyBestFirstSearch,C4,H2,False,1234_5678,26,79.0,125,46,0.003
13,35876421_,AStarSearch,C1,H1,False,_12345678,20,40.0,10646,3909,0.2123
14,35876421_,AStarSearch,C1,H2,False,_12345678,20,40.0,707,266,0.0142
15,35876421_,AStarSearch,C2,H1,False,_12345678,20,48.0,11777,4416,0.2201
16,35876421_,AStarSearch,C2,H2,False,_12345678,20,48.0,1379,526,0.0272
17,35876421_,AStarSearch,C3,H1,False,_12345678,20,52.0,24602,9214,0.4762
18,35876421_,AStarSearch,C3,H2,False,_12345678,20,52.0,3339,1273,0.0641
19,35876421_,AStarSearch,C4,H1,False,_12345678,20,56.0,14757,5547,0.3154
20,35876421_,AStarSearch,C4,H2,False,_12345678,20,56.0,2578,978,0.0528
21,86_145723,GreedyBestFirstSearch,C1,H1,False,1234567_8,25,50.0,818,299,0.015
21,86_145723,GreedyBestFirstSearch,C2,H1,False,1234567_8,25,61.0,818,299,0.015
21,86_145723,GreedyBestFirstSearch,C3,H1,False,1234567_8,25,64.0,818,299,0.015
21,86_145723,GreedyBestFirstSearch,C4,H1,False,1234567_8,25,74.0,818,299,0.015
22,86_145723,GreedyBestFirstSearch,C1,H2,False,1234567_8,47,94.0,688,252,0.012
22,86_145723,GreedyBestFirstSearch,C2,H2,False,1234567_8,47,115.0,688,252,0.012
22,86_145723,GreedyBestFirstSearch,C3,H2,False,1234567_8,47,120.0,688,252,0.012
22,86_145723,GreedyBestFirstSearch,C4,H2,False,1234567_8,47,141.0,688,252,0.012
23,86_145723,AStarSearch,C1,H1,False,1234567_8,21,42.0,17980,6628,0.3415
24,86_145723,AStarSearch,C1,H2,False,1234567_8,21,42.0,2032,754,0.0382
25,86_145723,AStarSearch,C2,H1,False,1234567_8,21,53.0,30087,10934,0.5778
26,86_145723,AStarSearch,C2,H2,False,1234567_8,21,53.0,5098,1866,0.0992
27,86_145723,AStarSearch,C3,H1,False,1234567_8,21,52.0,25597,9605,0.482
28,86_145723,AStarSearch,C3,H2,False,1234567_8,21,52.0,4096,1552,0.0817
29,86_145723,AStarSearch,C4,H1,False,1234567_8,21,63.0,43698,16483,0.8969
